date,sensor1,sensor2,sensor3
38/06/2022,PUNCDC-1-3,PUNHNZ-1-2.3,PUNH2-1-2.7
37/14/2022,PUNCDC-2-6,PUNHNZ-2-4.6,PUNH2-2-5.4
35/27/2022,PUNCDC-3-9,PUNHNZ-3-6.8999999999999995,PUNH2-3-8.100000000000001
49/07/2023,PUNCDC-4-12,PUNHNZ-4-9.2,PUNH2-4-10.8
06/01/2023,PUNCDC-5-15,PUNHNZ-5-11.5,PUNH2-5-13.5
47/27/2022,PUNCDC-6-18,PUNHNZ-6-13.799999999999999,PUNH2-6-16.200000000000003
19/28/2023,PUNCDC-7-21,PUNHNZ-7-16.099999999999998,PUNH2-7-18.900000000000002
23/23/2023,PUNCDC-8-24,PUNHNZ-8-18.4,PUNH2-8-21.6
28/25/2022,PUNCDC-9-27,PUNHNZ-9-20.7,PUNH2-9-24.3
14/22/2023,PUNCDC-10-30,PUNHNZ-10-23,PUNH2-10-27
52/12/2023,PUNCDC-11-33,PUNHNZ-11-25.299999999999997,PUNH2-11-29.700000000000003
18/12/2023,PUNCDC-12-36,PUNHNZ-12-27.599999999999998,PUNH2-12-32.400000000000006
25/11/2022,PUNCDC-13-39,PUNHNZ-13-29.9,PUNH2-13-35.1
57/04/2022,PUNCDC-14-42,PUNHNZ-14-32.199999999999996,PUNH2-14-37.800000000000004
45/30/2022,PUNCDC-15-45,PUNHNZ-15-34.5,PUNH2-15-40.5
20/09/2022,PUNCDC-16-48,PUNHNZ-16-36.8,PUNH2-16-43.2
23/25/2023,PUNCDC-17-51,PUNHNZ-17-39.099999999999994,PUNH2-17-45.900000000000006
16/09/2023,PUNCDC-18-54,PUNHNZ-18-41.4,PUNH2-18-48.6
21/07/2023,PUNCDC-19-57,PUNHNZ-19-43.699999999999996,PUNH2-19-51.300000000000004
15/04/2023,PUNCDC-20-60,PUNHNZ-20-46,PUNH2-20-54
21/31/2022,PUNCDC-21-63,PUNHNZ-21-48.3,PUNH2-21-56.7
50/12/2022,PUNCDC-22-66,PUNHNZ-22-50.599999999999994,PUNH2-22-59.400000000000006
22/24/2022,PUNCDC-23-69,PUNHNZ-23-52.9,PUNH2-23-62.1
29/05/2023,PUNCDC-24-72,PUNHNZ-24-55.199999999999996,PUNH2-24-64.80000000000001
49/12/2023,PUNCDC-25-75,PUNHNZ-25-57.49999999999999,PUNH2-25-67.5
19/13/2023,PUNCDC-26-78,PUNHNZ-26-59.8,PUNH2-26-70.2
48/13/2023,PUNCDC-27-81,PUNHNZ-27-62.099999999999994,PUNH2-27-72.9
06/02/2022,PUNCDC-28-84,PUNHNZ-28-64.39999999999999,PUNH2-28-75.60000000000001
42/15/2022,PUNCDC-29-87,PUNHNZ-29-66.69999999999999,PUNH2-29-78.30000000000001
22/22/2022,PUNCDC-30-90,PUNHNZ-30-69,PUNH2-30-81
33/03/2022,PUNCDC-31-93,PUNHNZ-31-71.3,PUNH2-31-83.7
31/04/2022,PUNCDC-32-96,PUNHNZ-32-73.6,PUNH2-32-86.4
18/02/2023,PUNCDC-33-99,PUNHNZ-33-75.89999999999999,PUNH2-33-89.10000000000001
24/10/2022,PUNCDC-34-102,PUNHNZ-34-78.19999999999999,PUNH2-34-91.80000000000001
49/06/2022,PUNCDC-35-105,PUNHNZ-35-80.5,PUNH2-35-94.5
15/19/2023,PUNCDC-36-108,PUNHNZ-36-82.8,PUNH2-36-97.2
31/19/2023,PUNCDC-37-111,PUNHNZ-37-85.1,PUNH2-37-99.9
41/15/2022,PUNCDC-38-114,PUNHNZ-38-87.39999999999999,PUNH2-38-102.60000000000001
15/17/2022,PUNCDC-39-117,PUNHNZ-39-89.69999999999999,PUNH2-39-105.30000000000001
36/25/2022,PUNCDC-40-120,PUNHNZ-40-92,PUNH2-40-108
05/06/2022,PUNCDC-41-123,PUNHNZ-41-94.3,PUNH2-41-110.7
03/14/2023,PUNCDC-42-126,PUNHNZ-42-96.6,PUNH2-42-113.4
